date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-04-02,19℃,12℃,中雨~中到大雨,东南风,3-4级,108,轻度污染,3
2016-04-03,16℃,10℃,小雨,北风,微风,85,良,2
2016-04-04,18℃,10℃,阴~多云,东南风,微风,59,良,2
2016-04-05,19℃,12℃,阴~小雨,东南风,微风,61,良,2
2016-04-06,19℃,13℃,中雨~小雨,东风,微风,58,良,2
2016-04-07,21℃,12℃,阴,西北风,微风,74,良,2
2016-04-08,23℃,12℃,阴,东南风,微风,123,轻度污染,3
2016-04-09,23℃,12℃,阴,东南风,微风,74,良,2
2016-04-10,24℃,10℃,阴,东风,微风,113,轻度污染,3
2016-04-11,22℃,13℃,阴~小雨,东风,微风,97,良,2
2016-04-12,21℃,14℃,阴~多云,东南风,3-4级,60,良,2
2016-04-13,26℃,15℃,多云,东风,3-4级,120,轻度污染,3
2016-04-14,28℃,14℃,阴,东南风,微风,153,中度污染,4
2016-04-15,25℃,18℃,阴~小雨,东南风,微风,110,轻度污染,3
2016-04-16,23℃,12℃,大雨~阴,西北风,微风,45,优,1
2016-04-17,22℃,10℃,小雨,西北风,微风,73,良,2
2016-04-18,21℃,11℃,多云,东南风,微风,53,良,2
2016-04-19,23℃,14℃,多云~阴,东南风,微风,69,良,2
2016-04-20,20℃,16℃,中雨~小雨,东南风,微风,44,优,1
2016-04-21,25℃,15℃,阴~多云,西北风,微风,78,良,2
2016-04-22,27℃,16℃,阴~小雨,东南风,微风,104,轻度污染,3
2016-04-23,17℃,14℃,小雨,东北风,微风,68,良,2
2016-04-24,19℃,13℃,小雨~阴,东北风,微风,73,良,2
2016-04-25,20℃,14℃,阴,东南风,微风,85,良,2
2016-04-26,19℃,13℃,小雨,东南风,微风,62,良,2
2016-04-27,18℃,13℃,小雨,西北风,微风,72,良,2
2016-04-28,25℃,11℃,多云~晴,西北风,微风,91,良,2
2016-04-29,25℃,14℃,晴,西南风,微风,133,轻度污染,3
2016-04-30,27℃,15℃,晴~多云,东南风,微风,117,轻度污染,3
2016-05-01,29℃,20℃,阴~多云,东南风,微风,94,良,2
2016-05-02,26℃,17℃,中雨,南风,微风,69,良,2
2016-05-03,26℃,13℃,晴~多云,西风,微风,70,良,2
2016-05-04,29℃,21℃,多云~小雨,东南风,微风,84,良,2
2016-05-05,26℃,21℃,大雨~小雨,西南风,微风,71,良,2
2016-05-06,31℃,15℃,多云~阴,东北风,微风,95,良,2
2016-05-07,25℃,16℃,小雨,东北风,微风,209,重度污染,5
2016-05-08,20℃,14℃,小雨,东北风,微风,72,良,2
2016-05-09,25℃,16℃,小雨~大雨,东北风,微风,85,良,2
2016-05-10,20℃,12℃,阴~多云,北风,3-4级,60,良,2
2016-05-11,26℃,15℃,晴,东南风,微风,103,轻度污染,3
2016-05-12,28℃,17℃,晴~多云,东南风,微风,105,轻度污染,3
2016-05-13,23℃,16℃,多云,东风,3-4级,83,良,2
