date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-03-27,20℃,5℃,晴~多云,无持续风向,微风,39,优,1
2016-03-28,22℃,8℃,多云~晴,北风,3-4级,139,轻度污染,3
2016-03-29,22℃,7℃,晴,无持续风向,微风,58,良,2
2016-03-30,22℃,7℃,晴,无持续风向,微风,56,良,2
2016-03-31,24℃,13℃,晴~阴,南风,3-4级,199,中度污染,4
2016-04-01,23℃,11℃,晴~多云,北风,3-4级,110,轻度污染,3
2016-04-02,18℃,8℃,多云,北风,3-4级,32,优,1
2016-04-03,18℃,6℃,晴,无持续风向,微风,44,优,1
2016-04-04,22℃,8℃,晴,无持续风向,微风,97,良,2
2016-04-05,24℃,11℃,多云~霾,南风,3-4级,152,中度污染,4
2016-04-06,23℃,12℃,阴,无持续风向,微风,165,中度污染,4
2016-04-07,24℃,8℃,晴,北风,3-4级,140,轻度污染,3
2016-04-08,25℃,10℃,晴,南风,3-4级,62,良,2
2016-04-09,26℃,8℃,晴,无持续风向,微风,170,中度污染,4
2016-04-10,19℃,5℃,晴,无持续风向,微风,123,轻度污染,3
2016-04-11,17℃,8℃,阴~小雨,无持续风向,微风,77,良,2
2016-04-12,20℃,8℃,多云~晴,无持续风向,微风,104,轻度污染,3
2016-04-13,26℃,11℃,晴,北风,3-4级,162,中度污染,4
2016-04-14,24℃,10℃,晴~多云,无持续风向,微风,72,良,2
2016-04-15,23℃,13℃,阵雨~小雨,无持续风向,微风,81,良,2
2016-04-16,22℃,11℃,多云~晴,北风,4-5级,69,良,2
2016-04-17,20℃,10℃,晴~阴,北风,3-4级,37,优,1
2016-04-18,21℃,8℃,晴~阴,北风,3-4级,38,优,1
2016-04-19,15℃,8℃,小雨~阴,无持续风向,微风,97,良,2
2016-04-20,26℃,11℃,晴,无持续风向,微风,90,良,2
2016-04-21,30℃,15℃,晴,北风,3-4级,141,轻度污染,3
2016-04-22,25℃,11℃,晴,北风,3-4级,81,良,2
2016-04-23,23℃,8℃,晴,无持续风向,微风,49,优,1
2016-04-24,27℃,17℃,晴,南风,3-4级,118,轻度污染,3
2016-04-25,29℃,14℃,晴~多云,南风,3-4级,127,轻度污染,3
2016-04-26,25℃,14℃,多云~阴,无持续风向,微风,108,轻度污染,3
2016-04-27,18℃,12℃,小雨~多云,无持续风向,微风,117,轻度污染,3
