date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-02-02,2℃,-6℃,晴,西北风,3-4级,68,良,2
2016-02-03,5℃,-4℃,晴,西风,3-4级,96,良,2
2016-02-04,3℃,-5℃,多云~阴,北风,3-4级,84,良,2
2016-02-05,1℃,-5℃,多云~阴,西北风,3-4级,60,良,2
2016-02-06,2℃,-5℃,晴,西北风,3-4级,45,优,1
2016-02-07,5℃,-2℃,晴,西南风,3-4级,101,轻度污染,3
2016-02-08,9℃,-2℃,晴~多云,西南风,3-4级,170,中度污染,4
2016-02-09,6℃,0℃,晴,北风,3-4级,88,良,2
2016-02-10,11℃,5℃,晴,东南风,4-5级,59,良,2
2016-02-11,10℃,4℃,小雨,东南风,3-4级,47,优,1
2016-02-12,9℃,3℃,多云~中雨,东北风,3-4级,49,优,1
2016-02-13,3℃,-5℃,雨夹雪~中雪,北风,6-7级,32,优,1
2016-02-14,-3℃,-7℃,阴~多云,西北风,6-7级,39,优,1
2016-02-15,-1℃,-5℃,晴,西北风,5-6级,37,优,1
2016-02-16,4℃,-4℃,晴,西北风,4-5级,58,良,2
2016-02-17,8℃,0℃,晴,西南风,3-4级,66,良,2
2016-02-18,7℃,0℃,晴,西南风,4-5级,76,良,2
2016-02-19,5℃,-3℃,多云~阵雪,西北风,3-4级,68,良,2
2016-02-20,2℃,-4℃,阴~多云,北风,5-6级,47,优,1
2016-02-21,5℃,-1℃,晴~多云,西北风,3-4级,52,良,2
2016-02-22,6℃,-3℃,小雨~雨夹雪,西南风,5-6级,123,轻度污染,3
2016-02-23,2℃,-6℃,多云~晴,北风,4-5级,114,轻度污染,3
2016-02-24,3℃,-3℃,多云,西南风,3-4级,53,良,2
2016-02-25,6℃,-4℃,晴~多云,西北风,4-5级,71,良,2
2016-02-26,6℃,-1℃,多云,南风,3-4级,86,良,2
2016-02-27,7℃,-1℃,多云,南风,3-4级,97,良,2
2016-02-28,4℃,-4℃,雨夹雪~阴,东北风,3-4级,57,良,2
